FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,AM1,AM2,AM3,AM4,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts,DiffLP,final1,final2
0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-15.0,1.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,10.0,0.0,1.0
1,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-16.0,0.0,1.0
1,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0
1,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.0,0.0,1.0
1,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.0,0.0,1.0
1,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,13.0,0.0,1.0
0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-11.0,1.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,13.0,0.0,1.0
1,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,17.0,0.0,1.0
1,0.012345679012345678,0.0,0.0,0.028985507246376805,1.5,0.0,3,2,2,2,1,2,2,2,0,0,0,0,0,0,0,0,0.5,-1.0,1.5,1.5,-12.0,0.0,1.0
0,0.037037037037037035,0.02531645569620253,0.0136986301369863,0.028985507246376805,1.5,0.5,3,2,2,2,0,2,2,2,0,0,0,0,0,0,0,0,1.0,0.0,1.0,1.0,-17.0,1.0,0.0
1,0.012345679012345678,0.0,0.0273972602739726,0.014492753623188406,0.0,0.0,1,2,2,2,1,2,2,2,0,0,0,0,0,0,0,0,-0.5,-0.5,0.0,0.0,1.0,0.0,1.0
1,0.02469135802469136,0.02531645569620253,0.0273972602739726,0.014492753623188406,0.5,1.5,0,2,2,2,3,2,2,2,0,0,0,0,0,0,0,0,0.0,0.5,-1.0,-1.0,5.0,0.0,1.0
