Team,15,14,13,12,11,10,9
Leicester,1,14,,,,,
Arsenal,2,3,4,4,3,4,3
Tottenham,3,5,6,5,4,5,4
Man City,4,2,1,2,1,3,5
Man United,5,4,7,1,2,1,2
Southampton,6,7,8,15,,,
West Ham,7,12,13,9,,20,17
Liverpool,8,6,2,7,9,6,7
Stoke,9,9,9,16,13,13,11
Chelsea,10,1,3,3,6,2,1
Everton,11,11,5,6,7,7,8
Swansea,12,8,12,12,12,,
Watford,13,,,,,,
West Brom,14,13,17,8,10,11,
Crystal Palace,15,10,11,,,,
Bournemouth,16,,,,,,
Sunderland,17,16,14,17,14,10,13
Newcastle,18,15,10,11,5,12,
Norwich,19,,18,14,11,,
Aston Villa,20,17,15,13,19,9,6
Burnley,,19,,,,,18
Hull,,18,16,,,,19
Middlesbrough,,,,,,,
QPR,,20,,20,17,,
Fulham,,,19,10,8,8,12
Cardiff,,,20,,,,
Wigan,,,,18,15,16,16
Reading,,,,19,,,
Bolton,,,,,16,14,14
Blackburn,,,,,18,15,10
Wolves,,,,,20,17,15
Birmingham,,,,,,18,9
Blackpool,,,,,,19,
